Measures
atan2 beta -141.952960 val :0.000000 
atan2 beta -143.530768 val :0.000000 
atan2 beta -145.175513 val :0.000000 
atan2 beta -146.888661 val :0.000000 
atan2 beta -148.671310 val :0.000000 
atan2 beta -150.524114 val :0.000000 
atan2 beta -152.447191 val :0.000000 
atan2 beta -154.440037 val :0.000000 
atan2 beta -156.501437 val :0.000000 
atan2 beta -158.629380 val :0.000000 
atan2 beta -160.820995 val :0.000000 
atan2 beta -163.072490 val :0.000000 
atan2 beta -165.379129 val :0.000000 
atan2 beta -167.735229 val :0.000000 
atan2 beta -170.134196 val :0.000000 
atan2 beta -172.568595 val :0.000000 
atan2 beta -175.030262 val :0.000000 
atan2 beta -177.510450 val :0.000000 
atan2 beta 180.000003 val :0.000000 
atan2 beta 177.510450 val :0.000000 
atan2 beta 175.030262 val :0.000000 
atan2 beta 172.568595 val :0.000000 
atan2 beta 170.134196 val :0.000000 
atan2 beta 167.735229 val :0.000000 
atan2 beta 165.379129 val :0.000000 
atan2 beta 163.072490 val :0.000000 
atan2 beta 160.820995 val :0.000000 
atan2 beta 158.629380 val :0.000000 
atan2 beta 156.501437 val :0.000000 
atan2 beta 154.440037 val :0.000000 
atan2 beta 152.447191 val :0.000000 
atan2 beta 150.524114 val :0.000000 
atan2 beta 148.671310 val :0.000000 
atan2 beta 146.888661 val :0.000000 
atan2 beta 145.175513 val :0.000000 
atan2 beta 143.530768 val :0.000000 
atan2 beta 141.952960 val :0.000000 
atan2 beta 140.440334 val :0.000000 
atan2 beta 138.990915 val :0.000000 
atan2 beta 137.602565 val :0.000000 
atan2 beta 136.273032 val :0.000000 
atan2 beta 135.000002 val :0.000000 
atan2 beta 133.781127 val :0.000000 
atan2 beta 132.614058 val :0.000000 
atan2 beta -131.347779 val :0.000000 
atan2 beta -132.510449 val :0.000000 
atan2 beta -133.726972 val :0.000000 
atan2 beta -135.000002 val :0.000000 
atan2 beta -136.332222 val :0.000000 
atan2 beta -137.726313 val :0.000000 
atan2 beta -139.184918 val :0.000000 
atan2 beta -140.710596 val :0.000000 
atan2 beta -142.305762 val :0.000000 
atan2 beta -143.972629 val :0.000000 
atan2 beta -145.713126 val :0.000000 
atan2 beta -147.528810 val :0.000000 
atan2 beta -149.420776 val :0.000000 
atan2 beta -151.389543 val :0.000000 
atan2 beta -153.434951 val :0.000000 
atan2 beta -155.556048 val :0.000000 
atan2 beta -157.750979 val :0.000000 
atan2 beta -160.016896 val :0.000000 
atan2 beta -162.349879 val :0.000000 
atan2 beta -164.744884 val :0.000000 
atan2 beta -167.195737 val :0.000000 
